iter	Passed	Remaining
0	1	1439
1	2	1094
2	2	967
3	3	897
4	4	862
5	5	851
6	5	833
7	6	830
8	7	826
9	8	821
10	9	817
11	9	812
12	10	807
13	11	800
14	12	797
15	12	791
16	13	789
17	14	788
18	15	782
19	15	779
20	16	778
21	17	774
22	18	774
23	19	772
24	19	772
25	20	770
26	21	769
27	22	769
28	22	768
29	23	767
30	24	766
31	25	764
32	26	764
33	26	761
34	27	761
35	28	759
36	29	757
37	29	755
38	30	754
39	31	755
40	32	754
41	32	752
42	33	753
43	34	751
44	35	750
45	36	750
46	36	749
47	37	748
48	38	748
49	39	746
50	40	746
51	40	744
52	41	743
53	42	742
54	43	741
55	43	739
56	44	738
57	45	736
58	46	734
59	46	731
60	47	729
61	48	727
62	48	725
63	49	723
64	50	721
65	50	719
66	51	717
67	52	716
68	53	715
69	53	714
70	54	713
71	55	712
72	56	711
73	56	709
74	57	707
75	58	706
76	58	704
77	59	703
78	60	701
79	60	699
80	61	698
81	62	697
82	62	693
83	63	693
84	64	692
85	65	692
86	65	690
87	66	688
88	67	686
89	67	685
90	68	683
91	69	682
92	69	681
93	70	680
94	71	679
95	71	677
96	72	675
97	73	674
98	73	673
99	74	671
100	75	669
101	75	668
102	76	668
103	77	669
104	78	670
105	79	670
106	80	670
107	81	670
108	82	670
109	82	671
110	83	672
111	84	672
112	85	672
113	86	673
114	87	672
115	88	672
116	88	671
117	89	670
118	90	669
119	91	668
120	91	667
121	92	665
122	93	664
123	93	662
124	94	661
125	95	660
126	95	658
127	96	656
128	97	655
129	97	655
130	98	654
131	99	653
132	100	652
133	100	651
134	101	650
135	102	649
136	102	648
137	103	647
138	104	646
139	104	644
140	106	646
141	106	644
142	107	643
143	108	642
144	108	641
145	109	640
146	110	639
147	110	638
148	111	638
149	112	637
150	113	636
151	114	636
152	114	635
153	115	634
154	116	634
155	117	634
156	117	633
157	118	632
158	119	631
159	120	630
160	120	628
161	121	628
162	122	627
163	122	626
164	123	625
165	124	625
166	125	625
167	126	624
168	126	624
169	127	624
170	128	624
171	129	625
172	130	624
173	131	623
174	132	622
175	132	621
176	133	620
177	134	620
178	134	619
179	135	618
180	136	617
181	137	616
182	137	615
183	138	614
184	139	613
185	139	611
186	140	611
187	141	610
188	142	609
189	142	609
190	143	608
191	144	608
192	145	607
193	146	606
194	146	606
195	147	605
196	148	605
197	149	604
198	149	603
199	150	602
200	151	601
201	152	600
202	152	599
203	153	598
204	154	597
205	154	596
206	155	595
207	156	594
208	156	592
209	157	591
210	157	590
211	158	589
212	159	589
213	160	588
214	161	588
215	161	587
216	162	586
217	163	585
218	163	584
219	164	583
220	165	582
221	165	581
222	166	580
223	167	579
224	167	578
225	168	576
226	169	576
227	169	575
228	170	574
229	171	573
230	171	571
231	172	570
232	173	570
233	173	569
234	174	568
235	175	567
236	175	566
237	176	565
238	177	564
239	177	563
240	178	562
241	179	561
242	179	560
243	180	559
244	181	558
245	181	557
246	182	556
247	183	555
248	183	554
249	184	553
250	185	552
251	185	551
252	186	550
253	187	549
254	187	548
255	188	547
256	189	547
257	190	546
258	190	545
259	191	544
260	192	543
261	192	542
262	193	541
263	194	540
264	194	539
265	195	538
266	195	537
267	196	536
268	197	535
269	197	534
270	198	534
271	199	533
272	199	532
273	200	531
274	201	530
275	201	529
276	202	528
277	203	527
278	203	526
279	204	526
280	205	525
281	206	524
282	206	523
283	207	522
284	208	522
285	208	521
286	209	520
287	210	519
288	210	518
289	211	517
290	211	516
291	212	515
292	213	514
293	213	513
294	214	512
295	215	512
296	216	511
297	216	510
298	217	510
299	218	509
300	218	508
301	219	507
302	220	506
303	220	505
304	221	505
305	222	504
306	222	503
307	223	502
308	224	501
309	224	500
310	225	499
311	226	498
312	226	497
313	227	497
314	228	496
315	228	495
316	229	494
317	230	493
318	230	492
319	231	492
320	232	491
321	232	490
322	233	489
323	234	488
324	234	487
325	235	487
326	236	486
327	237	485
328	237	484
329	238	484
330	239	483
331	239	482
332	240	481
333	241	480
334	241	479
335	242	479
336	243	478
337	243	477
338	244	476
339	244	475
340	245	474
341	246	473
342	246	472
343	247	472
344	248	471
345	248	470
346	249	469
347	250	469
